,links,link_text,text_meta
0,"Link(url='https://www.google.com/maps/dir//Sun+Rise+Centro+Papelero+Sun+Rise+On+Line/data=!4m8!4m7!1m0!1m5!1m1!1s0x85d1fec95277a1c9:0xe523bf71602f3dfc!2m2!1d-99.128761!2d19.4271069', text='\ue52eCómo llegar', fragment='', nofollow=False)",Cómo llegar, 
1,"Link(url='https://www.google.com/maps/uv?pb=!1s0x85d1fec95277a1c9:0xe523bf71602f3dfc!3m1!7e131!4s!5sSun+Rise+Centro+Papelero+Sun+Rise+On+Line&hl=es-419&imagekey=!1e10!2sAF1QipNtea7EAFHK6nWtbMkv78aQGPWC6voOf0XSUYOf', text='', fragment='', nofollow=False)",, 
2,"Link(url='https://www.google.com/maps/uv?pb=!1s0x85d1fec95277a1c9:0xe523bf71602f3dfc!3m1!7e131!4s!5sSun+Rise+Centro+Papelero+Sun+Rise+On+Line&hl=es-419&imagekey=!1e10!2sAF1QipPaTEXffpmdcVVGbtvjj60Oj8BNQIdoPir3ZGET', text='', fragment='', nofollow=False)",, 
3,"Link(url='https://www.google.com/maps/uv?pb=!1s0x85d1fec95277a1c9:0xe523bf71602f3dfc!3m1!7e131!4s!5sSun+Rise+Centro+Papelero+Sun+Rise+On+Line&hl=es-419&imagekey=!1e10!2sAF1QipM2aLGQwT7zyMedHSZR81Wvefr7ZwxyOFoKy8UA', text='', fragment='', nofollow=False)",, 
4,"Link(url='https://www.google.com/maps/uv?pb=!1s0x85d1fec95277a1c9:0xe523bf71602f3dfc!3m1!7e131!4s!5sSun+Rise+Centro+Papelero+Sun+Rise+On+Line&hl=es-419&imagekey=!1e10!2sAF1QipMOHeQC0xfEE2BViRfAacdRs6_cpuddW6VpwNcy', text='', fragment='', nofollow=False)",, 
5,"Link(url='https://www.google.com/maps/uv?pb=!1s0x85d1fec95277a1c9:0xe523bf71602f3dfc!3m1!7e131!4s!5sSun+Rise+Centro+Papelero+Sun+Rise+On+Line&hl=es-419&imagekey=!1e10!2sAF1QipMisYZIzOsHM6oIlFxbnG65QgkWv-S_KMcwtt2I', text='', fragment='', nofollow=False)",, 
6,"Link(url='https://www.google.com/maps/uv?pb=!1s0x85d1fec95277a1c9:0xe523bf71602f3dfc!3m1!7e131!4s!5sSun+Rise+Centro+Papelero+Sun+Rise+On+Line&hl=es-419&imagekey=!1e10!2sAF1QipOcvFVwilkHV2KaMSMqFLkvGlrAR0Vl-CuQkkoR', text='', fragment='', nofollow=False)",, 
7,"Link(url='https://www.google.com/maps/uv?pb=!1s0x85d1fec95277a1c9:0xe523bf71602f3dfc!3m1!7e131!4s!5sSun+Rise+Centro+Papelero+Sun+Rise+On+Line&hl=es-419&imagekey=!1e10!2sAF1QipPfoVrFOCxKrCvd9ndhldi4ojNCiuLnd7w08HYl', text='', fragment='', nofollow=False)",, 
8,"Link(url='https://www.google.com/maps/uv?pb=!1s0x85d1fec95277a1c9:0xe523bf71602f3dfc!3m1!7e131!4s!5sSun+Rise+Centro+Papelero+Sun+Rise+On+Line&hl=es-419&imagekey=!1e10!2sAF1QipMylVGuAlO8UC3jFRndft7LjopkTSGGZDiyc04T', text='', fragment='', nofollow=False)",, 
9,"Link(url='https://www.google.com/maps/uv?pb=!1s0x85d1fec95277a1c9:0xe523bf71602f3dfc!3m1!7e131!4s!5sSun+Rise+Centro+Papelero+Sun+Rise+On+Line&hl=es-419&imagekey=!1e10!2sAF1QipMHw2QAUr34DcUwuNy7DAcP8EiaSM8NwU9v69p-', text='', fragment='', nofollow=False)",, 
